Evento,id_chamado,tipo,subtipo,id_bairro,situacao,tipo_situacao,status
Carnaval,18329906,Poluição sonora,Perturbação do sossego,84,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330735,Poluição sonora,Perturbação do sossego,141,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330996,Poluição sonora,Perturbação do sossego,144,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330400,Poluição sonora,Perturbação do sossego,24,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330924,Poluição sonora,Perturbação do sossego,128,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18330923,Poluição sonora,Perturbação do sossego,24,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331149,Poluição sonora,Perturbação do sossego,25,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329623,Poluição sonora,Perturbação do sossego,105,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329683,Poluição sonora,Perturbação do sossego,89,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329654,Poluição sonora,Perturbação do sossego,42,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18328665,Poluição sonora,Perturbação do sossego,69,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329043,Poluição sonora,Perturbação do sossego,76,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329734,Poluição sonora,Perturbação do sossego,132,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329490,Poluição sonora,Perturbação do sossego,128,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18329699,Poluição sonora,Perturbação do sossego,147,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18333025,Poluição sonora,Perturbação do sossego,119,Encerrado,Não atendido,Sem possibilidade de atendimento
Reveillon,18078140,Poluição sonora,Perturbação do sossego,23,Encerrado,Atendido,Fechado com solução
Reveillon,18077988,Poluição sonora,Perturbação do sossego,35,Encerrado,Atendido,Fechado com solução
Reveillon,18077970,Poluição sonora,Perturbação do sossego,35,Encerrado,Atendido,Fechado com solução
Reveillon,18077984,Poluição sonora,Perturbação do sossego,35,Encerrado,Atendido,Fechado com solução
Reveillon,18078946,Poluição sonora,Perturbação do sossego,141,Encerrado,Atendido,Fechado com solução
Reveillon,18078723,Poluição sonora,Perturbação do sossego,5,Não Encerrado,Andamento,Em Andamento
Reveillon,18077728,Poluição sonora,Perturbação do sossego,14,Não Encerrado,Andamento,Em Andamento
Reveillon,18078334,Poluição sonora,Perturbação do sossego,17,Não Encerrado,Andamento,Em Andamento
Reveillon,18075919,Poluição sonora,Perturbação do sossego,20,Não Encerrado,Andamento,Em Andamento
Reveillon,18075987,Poluição sonora,Perturbação do sossego,20,Não Encerrado,Andamento,Em Andamento
Reveillon,18077407,Poluição sonora,Perturbação do sossego,20,Não Encerrado,Andamento,Em Andamento
Reveillon,18078399,Poluição sonora,Perturbação do sossego,20,Não Encerrado,Andamento,Em Andamento
